Mahler|Das Lied von der Erde
Schubert|Winterreise, D911
Strauss|Vier Letzte Lieder
Schumann|Dichterliebe, Op. 48
Schubert|Die Schöne Müllerin, D.795
Mahler|Rückertlieder
Mahler|Lieder eines fahrenden Gesellen
Ravel|Shéhérazade
Barber|Knoxville: Summer of 1915, Op. 24
Mahler|Kindertotenlieder
Berlioz|Les Nuits d'été, Op. 7
Schoenberg|Pierrot Lunaire, Op. 21
Vaughan Williams|On Wenlock Edge
Britten|Serenade for Tenor, Horn and Strings, Op. 31
Brahms|Vier Ernste Gesänge, Op. 121
Schubert|Schwanengesang, D957
Debussy|Fêtes Galantes, L80 & 104
Beethoven|An die ferne Geliebte, Op. 98
Fauré|La Bonne Chanson, Op. 61
Schubert|Erlkönig, D328
Schumann|Frauenliebe und -Leben, Op. 42
Boulez|Le Marteau sans maître
Schubert|An die Musik, D547
Wolf|Mörike Lieder
Sibelius|Luonnotar, Op. 70
Debussy|Ariettes Oubliées, L60
Dowland|Second Booke of Songes
Wolf|Italienisches Liederbuch
Brahms|Alto Rhapsody, Op. 53
Grieg|Haugtussa, Op. 67
Wagner|Wesendonck Lieder, WWV91
Schumann|Liederkreis, Op. 39
Ravel|Chansons madécasses
Mahler|Revelge
Falla|7 Canciones populares españolas
Copland|12 Poems of Emily Dickinson
Berg|Altenberg Lieder, Op. 4
Schoenberg|Das Buch der hängenden Gärten, Op. 15
Berg|Sieben frühe Lieder
Stravinsky|Three Japanese Lyrics
Schubert|Nächt und Träume, D827
Messiaen|Harawi
Elgar|Sea Pictures, Op. 37
Schumann|Liederkreis, Op. 24
Strauss|4 Lieder, Op. 27
Mussorgsky|Songs and Dances of Death
Mahler|Urlicht
Rachmaninoff|Vocalise, Op. 34/14
Poulenc|Tel Jour, Telle Nuit, FP86
Dowland|First Booke of Songes
Ravel|Trois poèmes de Stéphane Mallarmé
Canteloube|Chants d'Auvergne
Debussy|Trois Chansons de Bilitis, L90
Britten|Les Illuminations, Op. 18
Webern|5 Lieder, Op. 3
Finzi|Dies Natalis, Op. 8
Fauré|La Chanson d'Ève, Op. 95
Schubert|Gretchen am Spinnrade, D118
Janáček|The Diary of One Who Disappeared
Brahms|Zwei Gesange for Alto, Viola and Piano, Op. 91
Messiaen|Poèmes pour mi
Chausson|Poème de l'amour et de la mer, Op. 19
Lieberson|Neruda Songs
Schubert|Du bist die Ruh, D776
Wolf|Spanisches Liederbuch
Machaut|Le Remède de Fortune
Villa-Lobos|Bachianas Brasileiras No.5
Mahler|Ablösung im Sommer
Delius|Five Songs from the Norwegian
Satie|Je Te Veux
Wolf|Goethe-Lieder
Schubert|Auf dem Wasser zu singen, D774
Barber|Dover Beach, Op. 3
Schubert|Der Tod und das Mädchen, D531
Shostakovich|From Jewish Folk Poetry, Op. 79
Martinů|Magic Nights
Zemlinsky|Lyric Symphony, Op. 18
Poulenc|Fiançailles pour rire, FP101
Beethoven|Adelaide, Op. 46
Hahn|À Chloris
Fauré|Cinq Mélodies de Venise, Op. 58
Berg|4 Gesänge, Op. 2
Schumann|Myrthen, Op. 25
Debussy|Cinq Poèmes de Baudelaire, L64
Falla|Psyché, for mezzo-soprano, flute, harp & string trio, G67
Mahler|Wer hat dies Liedlein erdacht?
Alfonso X El Sabio|Santa Maria Strela Do Dia (Cantigas De Santa Maria #100)
Fauré|Après un rêve, Op. 7/1
Poulenc|Le bal masqué, FP60
Dowland|A Pilgrimes Solace
Fauré|Clair de Lune, Op. 46/2
Berg|Der Wein
Vaughan Williams|Five Mystical Songs
Brahms|5 Lieder, Op. 105
Ives|General William Booth Enters into Heaven
Sibelius|Six Runeberg Songs, Op. 90
Rachmaninoff|Zdes' khorosho, Op. 21/7
Dvořák|Gypsy Melodies, Op. 55
Nystroem|Songs by the Sea
Schoenberg|6 Lieder, Op. 3