Brahms|Cello Sonata No. 1
Debussy|Cello Sonata
Franck|Violin Sonata
Brahms|Violin Sonata No. 1
Shostakovich|Cello Sonata
Beethoven|Violin Sonata No. 9 'Kreutzer'
Ravel|Violin Sonata No. 2
Beethoven|Violin Sonata No. 5 'Spring'
Brahms|Clarinet Sonata No. 2
Brahms|Violin Sonata No. 2
Debussy|Violin Sonata
Schubert|Arpeggione Sonata
Takemitsu|Toward The Sea
Enescu|Violin Sonata No. 3
Fauré|Élégie For Cello And Piano
Schubert|Fantasia For Piano Four Hands
Brahms|Clarinet Sonata No. 1
Beethoven|Cello Sonata No. 2
Beethoven|Cello Sonata No. 3
Beethoven|Violin Sonata No. 10
Brahms|Cello Sonata No. 2
Bach, J.S.|Flute Sonata No. 1
Myaskovsky|Cello Sonata No. 2
Poulenc|Clarinet Sonata
Poulenc|Flute Sonata
Schumann|Fünf Stücke Im Volkston
Ives|Violin Sonata No. 3
Messiaen|Visions De L'Amen
Bartók|Violin Sonata No. 1
Bartók|44 Duos For Two Violins
Bach, J.S.|Viola Da Gamba Sonata No. 3
Schubert|Sonata For Piano Four Hands 'Grand Duo'
Mozart|Violin Sonata No. 18
Fauré|Violin Sonata No. 1
Bach, J.S.|Flute Sonata No. 5
Berg|Four Pieces For Clarinet And Piano
Koechlin|Bassoon Sonata
Pärt|Fratres
Dvořák|Romantic Pieces For Violin And Piano
Grieg|Cello Sonata
Janáček|Violin Sonata
Debussy|En Blanc Et Noir
Beethoven|Cello Sonata No. 4
Kodály|Duo For Violin And Cello
Clarke|Viola Sonata
Martinů|Cello Sonata No. 1
Hummel|Cello Sonata
Mendelssohn|Song Without Words, Op. 109
Pärt|Spiegel Im Spiegel
Rachmaninoff|Cello Sonata
Bach, J.S.|Violin Sonata No. 1
Poulenc|Oboe Sonata
Hindemith|Viola Sonata, Op. 11/4
Brahms|Violin Sonata No. 3
Fauré|Violin Sonata No. 2
Schubert|Fantasia For Violin And Piano
Carter|Cello Sonata
Webern|Three Little Pieces For Cello And Piano
Strauss, R.|Violin Sonata
Prokofiev|Cello Sonata
Bartók|Violin Sonata No. 2
Ravel|Violin Sonata No. 1
Webern|Four Pieces For Violin And Piano
Beethoven|Cello Sonata No. 5
Bach, J.S.|Violin Sonata No. 5
Stravinsky|Duo Concertant
Stravinsky|Concerto For Two Pianos
Chopin|Cello Sonata
Mozart|Violin Sonata No. 25
Shostakovich|Viola Sonata
Mozart|Sonata For Two Pianos In D Major
Schumann|Drei Fantasiestücke
Mozart|Violin Sonata No. 21
Mendelssohn|Cello Sonata No. 2
Mozart|Violin Sonata No. 26
Ravel|Sonata For Violin And Cello
Lekeu|Violin Sonata
Turina|Violin Sonata No. 2
Villa-Lobos|Bachianas Brasileiras No. 6
Respighi|Violin Sonata
Schoenberg|Phantasy For Violin And Piano
Reger|Clarinet Sonata No. 3
Fauré|Cello Sonata No. 1
Finzi|Five Bagatelles
Hovhaness|Spirit Of Trees
Fauré|Sicilienne For Cello And Piano
Bach, J.S.|Violin Sonata No. 6
Prokofiev|Violin Sonata No. 1
Bridge|Cello Sonata
Hindemith|Viola Sonata, Op. 25/4
Dutilleux|Sonatina For Flute And Piano
Takemitsu|Distance De Fée
Schumann|Violin Sonata No. 1
Szymanowski|Myths
Fauré|Cello Sonata No. 2
Saint-Saëns|Violin Sonata No. 1
Beethoven|Violin Sonata No. 8
Koechlin|Horn Sonata
Schnittke|Cello Sonata No. 1
Martinů|Three Madrigals For Violin And Viola