Bach|Mass in B minor
Handel|Messiah
Bach|St. Matthew Passion
Mozart|Requiem
Brahms|A German Requiem
Haydn|The Creation
Fauré|Requiem
Beethoven|Missa Solemnis
Monteverdi|Vespers of 1610
Mozart|Mass in C minor, K. 427 “The Great”
Bach|Magnificat
Bach|St. John’s Passion
Verdi|Requiem
Palestrina|Missa Papae Marcelli
Stravinsky|Symphony of Psalms 
Cherubini|Requiem in C minor
Haydn|Missa in Angustiis “Lord Nelson Mass”
Bach|Christmas Oratorio
Handel|Solomon 
Tallis|Spem in Alium
Britten|War Requiem
Berlioz|Grande Messe des morts “Requiem”
Mendelssohn|Elijah
Janacek|Glagolitic Mass
Schubert|Mass No. 6
Dvořák|Stabat Mater
Allegri|Miserere mei, Deus
Josquin|Missa Pange Lingua
Brahms|Nänie
Prokofiev|Alexander Nevsky (cantata)
Bach|Wachet auf, BWV 140
Vivaldi|Gloria
Bruckner|Te Deum
Barber|Agnus Dei
Pergolesi|Stabat Mater
Tallis|Lamentations of Jeremiah
Haydn|The Seasons
Walton|Belshazzar's Feast
Schumann|Szenen aus Goethes Faust
Schumann|Das Paradies und die Peri
Handel|Dixit Dominus
Monteverdi|Madrigali Guerrieri et Amorosi (Book VIII)
Mozart|Ave Verum Corpus
Byrd|Mass for 5 Voices
Mahler|Symphony No. 8
Penderecki|St. Luke Passion
Schubert|Mass No. 2
Elgar|The Dream of Gerontius
Pärt|Te Deum
Charpentier|Te Deum
Haydn|The Seven Last Words of Christ
Rachmaninov|Vespers
Schubert|Mass No. 5
Mozart|Mass in C 'Coronation'
Liszt|Christus
Brahms|Gesang der Parzen
Bach|Laß, Fürstin, laß noch einen Strahl, BWV 198
Machaut|Messe de Nostre Dame
Ligeti|Lux Aeterna
Berlioz|L'enfance du Christ
Victoria|O Magnum Mysterium
Handel|Israel in Egypt
Messiaen|La Transfiguration de Notre Seigneur Jésus-Christ
Purcell|Come Ye Sons of Art, Away
Haydn|Mass No. 14 'Harmoniemesse'
Saint-Saëns|Requiem
Villa-Lobos|Chôros No. 10
Byrd|Mass for 4 Voices
Buxtehude|Membra Jesu Nostri
Bomtempo|Requiem
Szymanowski|Stabat Mater
Handel|Four Coronation Anthems
Berlioz|La Damnation de Faust
Stravinsky|Mass
Stravinsky|Les Noces
Duruflé|Requiem
Berio|Sinfonia
Ockeghem|Missa Prolationum
Kodaly|Psalmus Hungaricus
Brahms|Schicksalslied
Fauré|Cantique de Jean Racine
Mozart|Vesperae solennes de confessore
Vivaldi|Dixit Dominus
Josquin|Missa L'homme armé
Brian|Symphony No. 1
MacMillan|Seven Last Words From the Cross
Britten|Ceremony of Carols
Schubert|Psalm 23
Pärt|Berliner Messe
Schütz|Musikalische Exequien
Poulenc|Gloria
Ligeti|Requiem
Berlioz|Te Deum
Handel|Judas Maccabaeus
Delius|Sea Drift
Monteverdi|Beatus Vir
Haydn, M.|Missa pro defuncto Archiepiscopo Sigismundo
Silvestrov|Requiem for Larissa
Purcell|Hail! Bright Cecilia, Z. 328 'Ode to Saint Cecilia'
Haydn|Mass No. 10 “Missa in tempore belli”