Mozart|Piano Concerto No. 20
Brahms|Piano Concerto No. 2
Rachmaninoff|Piano Concerto No. 2
Grieg|Piano Concerto
Schumann|Piano Concerto
Beethoven|Piano Concerto No. 5 'Emperor'
Prokofiev|Piano Concerto No. 3
Ravel|Piano Concerto (in G major)
Beethoven|Piano Concerto No. 4
Mozart|Piano Concerto No. 23
Bach|Harpsichord Concerto No. 3 (BWV 1054)
Mozart|Piano Concerto No. 21
Rachmaninoff|Piano Concerto No. 3
Tchaikovsky|Piano Concerto No. 1
Mozart|Piano Concerto No. 27
Beethoven|Piano Concerto No. 3
Prokofiev|Piano Concerto No. 2
Ravel|Piano Concerto for the Left Hand
Brahms|Piano Concerto No. 1
Mozart|Piano Concerto No. 24
Rachmaninoff|Rhapsody on a Theme of Paganini
Mozart|Piano Concerto No. 25
Chopin|Piano Concerto No. 2
Bach|Harpsichord Concerto No. 1 (BWV 1052)
Beethoven|Piano Concerto No. 1
Saint-Saëns|Piano Concerto No. 2
Bartók|Piano Concerto No. 3
Schoenberg|Piano Concerto
Mendelssohn|Piano Concerto No. 1
Shostakovich|Piano Concerto No. 2
Bach|Harpsichord Concerto No. 5 (BWV 1056)
de Falla|Noches en los Jardines de España
Mozart|Piano Concerto No. 22
Chopin|Piano Concerto No. 1
Mozart|Piano Concerto No. 17
Saint-Saëns|Piano Concerto No. 5 'The Egyptian'
Scriabin|Prometheus: The Poem of Fire
Bartók|Piano Concerto No. 1
Bach|Harpsichord Concerto No. 4 (BWV 1055)
Hummel|Piano Concerto No. 3
Mozart|Piano Concerto No. 9 'Jeunehomme'
Prokofiev|Piano Concerto No. 5
Bartók|Piano Concerto No. 2
Shostakovich|Piano Concerto No. 1
Liszt|Piano Concerto No. 1
Busoni|Piano Concerto
Beethoven|Piano Concerto No. 2
Poulenc|Organ Concerto
Prokofiev|Piano Concerto No. 1
Haydn|Piano Concerto No. 11
Bach|Harpsichord Concerto No. 2 (BWV 1053)
Liszt|Piano Concerto No. 2
Mozart|Piano Concerto No. 19
Weber|Konzertstück
Poulenc|Concerto for Two Pianos
Handel|Organ Concerto No. 13 (HWV 295) 'The Cuckoo and the Nightingale'
Gershwin|Concerto in F
Ligeti|Piano Concerto
Gershwin|Rhapsody in Blue
Ginastera|Piano Concerto No. 1
Bach|Harpsichord Concerto No. 7 (BWV 1058)
Mozart|Piano Concerto No. 26 'Coronation'
Hummel|Piano Concerto No. 2
Chopin|Andante spianato et grande polonaise brillante
Ireland|Piano Concerto
Bach|Concerto for Two Harpsichords No. 1 (BWV 1060)
Prokofiev|Piano Concerto No. 4 (for the left hand)
Rachmaninoff|Piano Concerto No. 4
Mendelssohn|Piano Concerto No. 2
Bartók|Concerto for Two Pianos
Vivaldi-Bach|Concerto for Four Harpsichords (BWV 1065)
Rautavaara|Piano Concerto No. 1
Franck|Symphonic Variations
Handel|Organ Concerto No. 14 (HWV 296a)
Medtner|Piano Concerto No. 2
Poulenc|Concert champêtre
Bach|Concerto for Three Harpsichords No. 2 (BWV 1064)
Bach|Concerto for Two Harpsichords No. 3 (BWV 1062)
Tveitt|Piano Concerto No. 4 'Aurora Borealis'
Bach|Concerto for Three Harpsichords No. 1 (BWV 1063)
C.P.E. Bach|Keyboard Concerto in D minor (H 427)
Schumann|Introduction and Allegro Appassionato
Mozart|Piano Concerto No. 7 for Three Pianos
Lutosławski|Piano Concerto
Rautavaara|Piano Concerto No. 3 'Gift of Dreams'
Vaughan Williams|Piano Concerto
C. Schumann|Piano Concerto
Handel|Organ Concerto op. 4 no. 4 (HWV 292)
Britten|Diversions for Piano (left hand) and Orchestra
Scriabin|Piano Concerto
Mozart|Piano Concerto No. 18
Debussy|Fantaisie for Piano and Orchestra
Beach|Piano Concerto
Saint-Saëns|Piano Concerto No. 4
Dvorak|Piano Concerto
Atterberg|Piano Concerto
Carter|Piano Concerto
Rubinstein|Piano Concerto No. 4
Liszt|Totentanz
Scharwenka|Piano Concerto No. 4