Beethoven|Piano Trio No. 7 in B♭ major, Op. 97, 'Archduke'
Ravel|Piano Trio in A minor
Dvořák|Piano Trio No. 4 in E minor, Op. 90 / B. 166, 'Dumky'
Brahms|Piano Trio No. 1 in B major, Op. 8
Beethoven|Piano Trio No. 5 in D major, Op. 70/1 'Ghost'
Schubert|Piano Trio No. 2 in E♭ major, D. 929
Shostakovich|Piano Trio No. 2 in E minor, Op. 67
Schubert|Piano Trio No. 1 in B♭ major, D. 898
Mendelssohn|Piano Trio No. 1 in D minor, Op. 49
Poulenc|Trio for oboe, bassoon and piano, FP 43
Schumann|Piano Trio No. 1 in D minor, Op. 63
Fauré|Piano Trio in D minor, Op. 120
Tchaikovsky|Piano Trio in A minor, Op. 50
Ligeti|Trio for violin, horn and piano
Brahms|Piano Trio No. 3 in C minor, Op. 101
Haydn|Piano Trio No. 44 in E major, Hob. XV/28
Mendelssohn|Piano Trio No. 2 in C minor, Op. 66
Mozart|Trio for clarinet, viola and piano in E♭ major, K. 498 'Kegelstatt'
Bartók|Contrasts, for clarinet, violin and piano, Sz. 111 / BB 116
Debussy|Piano Trio, L. 3
Smetana|Piano Trio in G minor, Op. 15
Arensky|Piano Trio No. 1 in D minor, Op. 32
Brahms|Trio for horn, violin and piano in E♭ major, Op. 40
Rachmaninov|Trio élégiaque No. 2 in D minor, Op. 9
Dvořák|Piano Trio No. 3 in F minor, Op. 65 / B. 130
Brahms|Trio for clarinet, cello and piano in A minor, Op. 114
Chausson|Piano Trio in G minor, Op. 3
Saariaho|Cendres, for alto flute, cello, and piano
Schubert|Notturno, D. 897
Brahms|Piano Trio No. 2 in C major, Op. 87
Bridge|Piano Trio No. 2, H. 178
Beethoven|Piano Trio No. 3 in C minor, Op. 1/3
Ives|Piano Trio
Schumann|Piano Trio No. 3 in G minor, Op. 110
Haydn|Piano Trio No. 39 in G major, Hob. XV/25
Crumb|Vox Balaenae, for electric flute, cello and piano
Saint-Saëns|Piano Trio No. 2 in E minor, Op. 92
Takemitsu|Between Tides
Rachmaninov|Trio élégiaque No. 1 in G minor
Schumann (Wieck), Clara|Piano Trio in G minor, Op. 17
Beethoven|Piano Trio No.6 in E♭ major, Op. 70/2
Schumann|Piano Trio No. 2 in F major, Op. 80
Kurtág|Hommage à R. Sch. for viola, clarinet and piano, Op. 15d
Mozart|Piano Trio No. 3 in B♭ major, K. 502
Bruch|Eight Pieces for clarinet, viola, and piano, Op. 83
Martinů|Piano Trio No. 2 in D minor, H. 327
Saint-Saëns|Piano Trio No. 1 in F Major Op. 18
Hummel|Piano Trio No. 6 in E♭ major, Op. 93
Schnittke|Piano Trio
Gubaidulina|Quasi Hoquetus, for viola, bassoon, and piano
Roussel|Piano Trio in E♭ Major, Op. 2
Haydn|Piano Trio No. 45 in E♭ major, Hob. XV/29
Franck|Piano Trio in F-sharp minor, Op. 1/1
Mozart|Piano Trio No. 4 in E major, K. 542
Lachenmann|Allegro Sostenuto, for clarinet, cello and piano
Beethoven|Piano Trio No. 2 in G Major, Op. 1/2
Alfano|Concerto for Violin, Cello and Piano
Clarke, Rebecca|Piano Trio
Chopin|Piano Trio in G minor, Op. 8
Rihm|Fremde Szenen I-III
Turina|Piano Trio No. 2, Op. 76
Mozart|Piano Trio No. 5 in C major, K. 548
Schumann|Märchenerzählungen, for clarinet, viola and piano, Op. 132
Shostakovich|Piano Trio No. 1 in C minor, Op. 8
Haydn|Piano Trio No. 43 in C major, Hob. XV/27
Khachaturian|Trio for clarinet, violin, and piano
Weinberg|Piano Trio, Op. 24
Dvořák|Piano Trio No. 2 in G minor, Op. 26 / B. 56
Hummel|Piano Trio No. 5 in E major, Op. 83
Zemlinsky|Trio for clarinet, cello and piano, Op. 3
Martinů|Piano Trio No. 3, H. 332
Alkan|Piano Trio in G minor, Op. 30
Taneyev|Piano Trio in D major, Op. 22
Lalo|Piano Trio No. 3 in A minor, Op. 26
Schumann|Fantasiestücke, Op. 88
Pierné|Piano Trio in C Minor, Op. 45
Weber|Trio for flute, cello and piano, Op. 63
Furrer|Aer, for clarinet, cello and piano
Feldman|For Philip Guston, for flute, percussion and piano
Beach|Piano Trio in A minor, Op. 150
Turina|Piano Trio No. 1, Op. 35
Lekeu|Piano Trio in C minor
Bloch|Three Nocturnes
Hummel|Piano Trio No. 7 in E♭ major, Op. 96
Milhaud|Suite for violin, clarinet and piano Op. 157b
Dvořák|Piano Trio No. 1 in B♭ major, Op. 21 / B. 51
Granados|Piano Trio in C Major, Op. 50
Bertrand|Sanh, for bass clarinet, cello and piano
Schoenfield|Café Music
Glinka|Trio Pathétique in D minor, for clarinet, piano and bassoon
Borodin|Piano Trio in D major
Sciarrino|Piano Trio No. 2
Martinů|Trio for flute, cello and piano, H. 300
Reger|Piano Trio in E minor, Op. 102
Haydn|Piano Trio No. 42 in E♭ major, Hob. XV/30
Höller|Tagträume
Bridge|Piano Trio No. 1 (Phantasie), H. 79
Zimmerli|Piano Trio No. 1
Kagel|Piano Trio No. 1
Hummel|Piano Trio No. 1 in E♭ major Op. 12
Sørensen|Phantasmagoria
Beethoven|Piano Trio No. 1 in E♭ Op. 1/1
Stockhausen|Schlagtrio, for piano and two (x3) timpanists
Akhunov|Big Elegy to John Cage
Hensel (Mendelssohn), Fanny|Piano Trio in D minor, Op. 11
Babajanian|Piano Trio in F-sharp minor
Mozart|Piano Trio No. 2 in G major, K. 496
Fibich|Piano Trio in F minor
Farrenc|Trio for flute, cello and piano in E minor, Op. 45
Brahms (attributed)|Piano Trio in A major, Op. Posth, Anh. 4/5
Beethoven|Piano Trio No. 4 in B♭ major, Op. 11 'Gassenhauer'
Oehring & ter Schiphorst|Prae-Senz (Ballet Blanc II)
Turina|Circulo, Op. 91
Martinů|Bergerettes, H. 275
Vasks|Piano Trio 'Episodi e canto perpetuo'
Haydn|Piano Trio No. 41 in E♭ minor, Hob. XV/31
Pärt|Mozart-Adagio
Henze|Adagio adagio
Kulenty|A Cradle Song
Haydn|Piano Trio No. 38 in D major, Hob. XV/24
Rimsky-Korsakov|Piano Trio in C minor
Reinecke|Trio for clarinet, horn and piano, Op. 274
Arensky|Piano Trio No. 2 in F minor, Op. 73
Magnard|Piano Trio in F minor, Op. 18
Gribbin|How to Make the Water Sound