Brahms|Violin Concerto
Mendelssohn|Violin Concerto
Dvořák|Cello Concerto
Bach|Double Violin Concerto (BWV 1043)
Sibelius|Violin Concerto
Bruch|Violin Concerto No. 1
Vivaldi|The Four Seasons
Beethoven|Violin Concerto
Berg|Violin Concerto
Elgar|Cello Concerto
Tchaikovsky|Violin Concerto
Mozart|Violin Concerto No. 5 'Turkish'
Prokofiev|Violin Concerto No. 1
Brahms|Double Concerto
Bartók|Violin Concerto No. 2
Bach|Violin Concerto No. 1 (BWV 1041)
Mozart|Sinfonia Concertante
Barber|Violin Concerto
Shostakovich|Violin Concerto No. 1
Bach|Violin Concerto No. 2 (BWV 1042)
Schumann|Cello Concerto
Lalo|Symphonie Espagnole
Haydn|Cello Concerto No. 1
Dvořák|Violin Concerto
Mozart|Violin Concerto No. 4
Saint-Saëns|Cello Concerto No. 1
Korngold|Violin Concerto
Glazunov|Violin Concerto
Prokofiev|Violin Concerto No. 2
Haydn|Cello Concerto No. 2
Vaughan Williams|The Lark Ascending
Schumann|Violin Concerto
Mozart|Violin Concerto No. 3
Prokofiev|Symphony-Concerto
Paganini|Violin Concerto No. 1
Saint-Saëns|Violin Concerto No. 3
Saint-Saëns|Introduction and Rondo Capriccioso
Shostakovich|Cello Concerto No. 1
Tchaikovsky|Variations on a Rococo Theme
Bartók|Violin Concerto No. 1
Khachaturian|Violin Concerto
Beethoven|Violin Romance No. 1
Chausson|Poème for Violin and Orchestra
Ravel|Tzigane
Walton|Viola Concerto
Vivaldi|L'estro Armonico
Elgar|Violin Concerto
Schoenberg|Violin Concerto
Beethoven|Violin Romance No. 2
Bruch|Kol Nidrei