Schubert|String Quintet
Beethoven|String Quartet No. 13 & Grosse Fuge
Schubert|String Quartet No. 14 'Death and the Maiden'
Beethoven|String Quartet No. 14
Dvořák|String Quartet No. 12 'American'
Mozart|String Quintet No. 4
Mozart|String Quartet No. 19 'Dissonance'
Beethoven|String Quartet No. 15
Mendelssohn|Octet
Shostakovich|String Quartet No. 8
Schubert|String Quartet No. 13 'Rosamunde'
Schubert|String Quartet No. 15
Haydn|String Quartet op. 76 no. 3 'Emperor'
Ravel|String Quartet
Bartók|String Quartet No. 4
Brahms|String Quintet No. 2
Debussy|String Quartet
Brahms|String Sextet No. 1
Dvořák|String Quintet No. 3
Borodin|String Quartet No. 2
Haydn|String Quartet op. 76 no. 4 'Sunrise'
Schoenberg|String Quartet No. 2
Mendelssohn|String Quartet No. 6
Janáček|String Quartet No. 2 'Intimate Letters'
Bruckner|String Quintet
Brahms|String Sextet No. 2
Brahms|String Quintet No. 1
Sibelius|String Quartet 'Voces intimae'
Brahms|String Quartet No. 2
Grieg|String Quartet
Mozart|String Quintet No. 3
Mozart|String Quintet No. 6
Mozart|Divertimento
Enescu|Octet
Bruch|String Quartet No. 2
Haydn|String Quartet op. 76 no. 5 'Largo'
Brahms|String Quartet No. 1
Haydn|String Quartet op. 76 no. 2 'Fifths'
Brahms|String Quartet No. 3
Dvořák|String Sextet
Tchaikovsky|String Quartet No. 1
Mendelssohn|String Quintet No. 2
Beethoven|String Quartet No. 16
Beethoven|String Quartet No. 11 'Serioso'
Smetana|String Quartet No. 1 'From My Life'
Elgar|String Quartet
Schmidt|String Quartet No. 2
Verdi|String Quartet
Tchaikovsky|String Sextet 'Souvenir de Florence'
Berg|Lyric Suite