Bach, J.S.|Cello Suites, BWV 1007-1012
Bach, J.S.|Sonatas and Partitas for Solo Violin, BWV 1001-1006
Kodály|Sonata for solo cello, op. 8
Bartók|Sonata for violin solo, Sz. 117 
Debussy|Syrinx for solo flute, L. 129
Ligeti|Sonata for viola
Ysaÿe|Six Sonatas for solo violin, op. 27
Paganini|24 Caprices for Solo Violin, op. 1 
Bach, J.S.|Partita in A minor for solo flute, BWV 1013
Berio|Sequenza VIII, for violin
Varèse|Density 21.5, for flute solo
Grisey|Prologue, for viola and optional live electronics
Reger|Three Suites for Solo Cello, op. 131c
Britten|Suite for Cello, op. 72
Ligeti|Sonata for cello
Stravinsky|Elegy, for viola (or violin) solo
Kurtág|Hipartita for violin, op. 43
Xenakis|Nomos Alpha, for cello
Schnittke|A Paganini, for violin
Mozart, W.A.|Adagio for glass harmonica in C major, K. 356 (617a)
Prokofiev|Sonata for violin solo in D major, op. 115
Britten|Six Metamorphoses after Ovid for Oboe Solo, op. 49
Abel|27 Pieces for bass viol, WK 186-212
Saariaho|Six Japanese Gardens, for percussion and electronics
Telemann|12 Fantasias for solo violin, TWV 40:14-25
Stravinsky|Three Pieces for solo clarinet
Boulez|Anthèmes II, for violin and electronics
Berio|Sequenza IX, for clarinet
Cage|Freedman Etudes for violin
Telemann|12 Fantasias for solo flute, TWV 40:2-13
Marshall|September Cannons, for violin and electronic processing
Petzold|Partita in A major for viola d'amore
Xenakis|Rebonds, for solo percussion
Rădulescu|Das Andere, for viola solo, op. 49
Saariaho|Sept Papillons for solo cello
Britten|Third Suite for Cello, op. 87
Glass|Partita for Solo Violin
Schweinitz|Plainsound Counterpoint for double bass solo, op. 56
Takemitsu|Air, for solo flute
Reger|Three Suites for Solo Viola, op. 131d
Roman|Assaggi á Violino Solo, BeRI 301-23, 343
Piazzolla|Tango-Études, for flute solo
Hume|The First Part of Ayres
Dutilleux|Trois Strophes sur le nom de Sacher for solo cello
Hindemith|Sonata for solo viola, op. 25/1
Dennehy|fAt, for flute and tape
Vilsmaÿr|Six Partitas for Solo Violin
Haas|Solo for viola d'amore
Khachaturian|Sonata-Fantasy, for cello solo in C major, op. 104
Honegger|Sonata for violin solo, H. 143